"RegularExpression","Translation"
"\[Warning\][\s\S]+password[\s\S]+insecure","******"
"[\d]{1,3}\.[\d]{1,3}\.[\d]{1,3}\.[\d]{1,3}","***.***.***.***"
"[c-j]:\\[\s\S]+\.sql","******.sql"
"[c-j]:\\[\s\S]+\\","***"
"create(\s)*or(\s)*replace(\s)*view(\s)*UID[\d]{10}_FILE[\d]{1,2}_[\d]{1,2}V(\s)*as",""
"View(\s)*created\.",""
"query_ro","***dbuser***"
"SYS.EXPORTCSV","***"
"codec can't decode byte|illegal multibyte sequence|invalid continuation byte|invalid start byte","Attachment/mail encoding format maybe error,Please modify&send again(UTF8/Others->ANSI)."
"ORA-01013","This query can't get Data after a long time(30Min),Please check&modify your sql."
"ORA-00932(.|\n)*FORBIGDATA","Error:SQL shouldn't include column of binary object(BLOB/BFILE/LONG RAW)."
"ORA-00923","Error:there may be oracle reserved keyword in column alias(must be enclosed in double quotes) or syntax error in sql."
"SP2-0027","Your SQL is too long in one line,please return/enter before 2499 chars."
"SP2-0734","Your attachment encoding format maybe error,Please modify&send again(UTF8/Others->ANSI)."
"mysql(.|\n)*ANY(\s)*command(\s)*denied(\s)*to(\s)*user|mysql(.|\n)*error(\s)*1146|mysql(.|\n)*error(\s)*1054","SQL error(dbname&table&table alias are case sensitive in mysql),please check&modify!"
"error(\s)*in(\s)*your(\s)*sql(\s)*syntax(.|\n)*CONCAT\(IFNULL\(","Attachment/mail encoding format maybe error,Please modify&send again(UTF8/Others->ANSI)."